rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
118,map,jeju-f,Jeju (Full Island),kimth9,kimth9,https://github.com/kimth9,1,1,158,158,157,157,snapshot_2026_07_06.json,snapshot_2026_07_05.json
119,mod,tathan-casino,TATHAN Casino,TathanDev,TathanDev,https://github.com/TathanDev,1,1,156,156,155,155,snapshot_2026_07_06.json,snapshot_2026_07_05.json
120,map,sejong-3,Sejong (30km×30km),kimth9,kimth9,https://github.com/kimth9,1,1,144,144,143,143,snapshot_2026_07_06.json,snapshot_2026_07_05.json
121,map,pyongyang-nk,Pyongyang,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,143,143,142,142,snapshot_2026_07_06.json,snapshot_2026_07_05.json
122,map,ciudad-juarez-el-paso,Ciudad Juárez-El Paso,rslurry,slurry,https://github.com/rslurry,1,1,138,138,137,137,snapshot_2026_07_06.json,snapshot_2026_07_05.json
123,map,connecticut-usa,Connecticut,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,133,133,132,132,snapshot_2026_07_06.json,snapshot_2026_07_05.json
124,map,santa-barbara,Santa Barbara,rslurry,slurry,https://github.com/rslurry,1,1,133,133,132,132,snapshot_2026_07_06.json,snapshot_2026_07_05.json
125,map,rochester,Rochester,rslurry,slurry,https://github.com/rslurry,1,1,132,132,131,131,snapshot_2026_07_06.json,snapshot_2026_07_05.json
126,map,san-antonio,San Antonio,rslurry,slurry,https://github.com/rslurry,1,1,125,125,124,124,snapshot_2026_07_06.json,snapshot_2026_07_05.json
127,map,willamette-valley,"Willamette Valley, OR",Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,107,107,106,106,snapshot_2026_07_06.json,snapshot_2026_07_05.json
128,map,catania,Catania,Maximilian284,max02,https://github.com/Maximilian284,1,1,102,102,101,101,snapshot_2026_07_06.json,snapshot_2026_07_05.json
129,map,piedmont-triad,Piedmont Triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,101,101,100,100,snapshot_2026_07_06.json,snapshot_2026_07_05.json
130,map,charleston-sc,"Charleston, SC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,99,99,98,98,snapshot_2026_07_06.json,snapshot_2026_07_05.json
131,map,wilmington-nc,"Wilmington, NC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,90,90,89,89,snapshot_2026_07_06.json,snapshot_2026_07_05.json
132,map,trondheim-no,Trondheim,rslurry,slurry,https://github.com/rslurry,1,1,81,81,80,80,snapshot_2026_07_06.json,snapshot_2026_07_05.json
