rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
167,buffalo-ny,Buffalo,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,BUF,US,445021,31196,1559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,YKF,CA,437817,3001,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,yukina-ee-tallinn,Tallinn,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,TLL,EE,427487,14845,9734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,akron-oh,"Akron, OH",bean1322,bean1322,https://github.com/bean1322,AKR,US,421326,45142,2292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,yukina-tsugaru,津軽 (Tsugaru),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,AOJ,JP,414153,15013,6270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,yukina-morioka,盛岡 (Morioka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,HNA,JP,407181,14837,6254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,yukina-matsuyama,松山 (Matsuyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,MYJ,JP,393608,11426,3270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,yukina-pl-rzeszow,Rzeszów,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,RZE,PL,359064,19120,14357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,yukina-cz-hradec-pardubice,Hradec Králové - Pardubice,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,HKP,CZ,355743,25685,11018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,yukina-cz-ustecko-chomutov,Ústí nad Labem - Chomutov,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,UCH,CZ,350214,24754,8104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,tri-cities,Tri-Cities,ryandicicco,ryandicicco,https://github.com/ryandicicco,PSC,US,346040,6659,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,ALB,US,328703,26823,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,mfn-madisonwi,Madison,crumpetime,muffintime,https://github.com/crumpetime,MSN,US,327350,48129,2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
